"quote","attribution"
"Das Mainstream-Kino entrealisiert, überdreht oder ironisiert Gewalt. „Pulp Fiction“ ist dafür ein Musterbeispiel. Wenn da der Kopf weggeblasen wird, herrscht ein Riesengelächter im Saal. Das ist perfekt gemachter Zynismus im Dienste der Verkaufbarkeit.","Michael Haneke, Der Tagesspiegel vom 29. Mai 2008, über Brutalität und Horrorfilme – und wie man damit umgeht"
"Der Kopf ist rund, damit das Denken die Richtung wechseln kann.","Francis Picabia, Aphorismen"
"Die Menschen und die Pyramiden // Sind nicht gemacht, um auf dem Kopf zu stehn.","Gottlieb Konrad Pfeffel, Die Pyramide. Aus: Poetische Versuche. 5. Theil. 4. Auflage. Tübingen: Cotta, 1803. S. 33. Google Books"
"Du trägst den Kopf bald so hoch, dass du dir nicht mehr den Hut aufsetzen kannst!","Honoré de Balzac, Une fille d'Eve, 1838"
"[…] eine Biene beschämt durch den Bau ihrer Wachszellen manchen menschlichen Baumeister. Was aber von vornherein den schlechtesten Baumeister vor der besten Biene auszeichnet, ist, dass er die Zelle in seinem Kopf gebaut hat, bevor er sie in Wachs baut. Am Ende des Arbeitsprozesses kommt ein Resultat heraus, das beim Beginn desselben schon in der Vorstellung des Arbeiters, also schon ideell vorhanden war.","Karl Marx, Das Kapital. Band 1, MEW 23, S. 193"
"Gib Acht, dich nicht in fremde Angelegenheiten einzumischen, ja, lass sie dir noch nicht einmal durch den Kopf gehen; denn vielleicht bist du nicht fähig, deine eigene Aufgabe zu erfüllen.","Johannes vom Kreuz, Merksätze von Licht und Liebe"
"Heute aber ist die herrschende Vorstellung, daß jeder Mensch eine Masse von Notizen in seinem Kopf herumtragen solle, und das nennt man dann allgemeine Bildung.","Heinrich von Treitschke, Politik : Vorlesungen gehalten an der Universität zu Berlin, 1. Band, 2. Auflage. Leipzig: Hirzel, 1899, S. 182f. Internet Archive"
"Mag's in der Brust stürmen und wogen, der Atem in der Kehle stocken! Der Kopf soll oben bleiben bis in den Tod!","Gottfried Keller, Der Grüne Heinrich. 10. Kapitel: Der Schädel"
"Über diese Antwort des Kandidaten Jobses, // geschah allgemeines Schütteln des Kopfes.","Wilhelm Busch, Bilder zur Jobsiade"
"Unsere Feinde sind in unserer Mitte und überall um uns... denn unser Feind ist die fast universelle Starrheit von Kopf und Herz, der Mangel an Vitalität im Menschen...","Henry David Thoreau, Leben ohne Grundsätze"
"Unterscheidung: Handwerker, Kopfwerker, Bauchwerker.","Emil Gött, Im Selbstgespräch"
"Vor einem grauen Haupte sollst Du das Deine beugen!","Adolph Freiherr Knigge, Über den Umgang mit Menschen"
"Wenn ein Buch und ein Kopf zusammenstoßen und es klingt hohl, ist das allemal im Buche?","Georg Christoph Lichtenberg 1775, Sudelbücher, Heft D (399)"
"Ach, die Welt ist so geräumig, // Und der Kopf ist so beschränkt.","Wilhelm Busch, Zu guter Letzt, Beschränkt."
"Auf hohlen Köpfen ist gut trommeln. Und je hohler ein Kopf, desto voller das Echo.","Karlheinz Deschner, Rede anlässlich der Entgegennahme des Alternativen Büchner-Preises 1993, ibka.org"
"Denn es ist nicht genug, einen guten Kopf zu haben; die Hauptsache ist, ihn richtig anzuwenden.","René Descartes, Diskurs über die Methode"
"Denn Schwärmerey steckt wie der Schnuppen an. // Man fühlt, ich weis nicht was, und eh man wehren kann, // Ist unser Kopf des Herzens nicht mehr mächtig.","Christoph Martin Wieland, Musarion, oder Die Philosophie der Grazien. Leipzig: Weidmann, 1768. S. 21"
"Heute aber ist die herrschende Vorstellung, dass jeder Mensch eine Masse von Notizen in seinem Kopf herumtragen solle, und das nennt man dann allgemeine Bildung.","Heinrich von Treitschke, Politik, 1,5, Regierung und Regierte"
"Keiner, der mit äußerster Geschwindigkeit läuft, hat Kopf oder Herz.","William Butler Yeats, Entfremdung"
"Kopf und Herz führen meist erst in reiferen Jahren getrennte Rechnung.","Karl Emil Franzos, Deutsche Dichtung, 9.36"
"Man beherrscht die Menschen mit dem Kopf: mit einem guten Herzen spielt man nicht Schach.","Nicolas-Sébastien de Chamfort, Maximes et Pensées, Caractères et Anecdotes"
"Politik besteht aus Sache, Kopf, Bauch.","Roland Koch, Stern Nr. 4/2009 vom 15. Januar 2009, S. 45"
"Sehr kluge und verständige Menschen tun oft im gemeinen Leben Schritte, bei denen wir den Kopf schütteln müssen.","Adolph Freiherr Knigge, Über den Umgang mit Menschen"
"Was dem Herzen widerstrebt, läßt der Kopf nicht ein.","Arthur Schopenhauer, Die Welt als Wille und Vorstellung, Zweiter Band, Zum zweiten Buch, Kapitel 19"
"Wenn das Herz am rechten Fleck ist, spielt es keine Rolle, wo der Kopf ist.","Walter Raleigh. Letzte Worte vor seiner Enthauptung am 29. Oktober 1618"
"Mein Team rennt nie ohne Kopf an.","Armin Veh, über seine Fußballstrategie, Frankfurter Allgemeine Sonntagszeitung Nr. 19/2007 vom 13. Mai 2007, S.13"
"Ach, die Welt ist so geräumig, // Und der Kopf ist so beschränkt.","Wilhelm Busch, Zu guter Letzt, Beschränkt."
"Auf hohlen Köpfen ist gut trommeln. Und je hohler ein Kopf, desto voller das Echo.","Karlheinz Deschner, Rede anlässlich der Entgegennahme des Alternativen Büchner-Preises 1993, ibka.org"
"Denn es ist nicht genug, einen guten Kopf zu haben; die Hauptsache ist, ihn richtig anzuwenden.","René Descartes, Diskurs über die Methode"
"Denn Schwärmerey steckt wie der Schnuppen an. // Man fühlt, ich weis nicht was, und eh man wehren kann, // Ist unser Kopf des Herzens nicht mehr mächtig.","Christoph Martin Wieland, Musarion, oder Die Philosophie der Grazien. Leipzig: Weidmann, 1768. S. 21"
"Heute aber ist die herrschende Vorstellung, dass jeder Mensch eine Masse von Notizen in seinem Kopf herumtragen solle, und das nennt man dann allgemeine Bildung.","Heinrich von Treitschke, Politik, 1,5, Regierung und Regierte"
"Keiner, der mit äußerster Geschwindigkeit läuft, hat Kopf oder Herz.","William Butler Yeats, Entfremdung"
"Kopf und Herz führen meist erst in reiferen Jahren getrennte Rechnung.","Karl Emil Franzos, Deutsche Dichtung, 9.36"
"Man beherrscht die Menschen mit dem Kopf: mit einem guten Herzen spielt man nicht Schach.","Nicolas-Sébastien de Chamfort, Maximes et Pensées, Caractères et Anecdotes"
