"quote","attribution"
"Alle Tiere sind gleich. Aber manche sind gleicher als die anderen.","George Orwell, Farm der Tiere - Animal Farm, 1945"
"Außer den Haaren ist fast alles essbar von einem Viech, schmeckt sogar köstlich, wenn es nur gut zubereitet wird.","Wolfram Siebeck, Stern Nr. 14/2008 vom 27. März 2008, S. 124"
"Damals lernte ich verstehen, warum die Tiere Hörner haben. Sie enthielten alles Unverständliche, das in ihrem Leben nicht unterzubringen war, die wilde und zudringliche Laune, den geistlosen und blinden Starrsinn.","Bruno Schulz, Die geniale Epoche, in: Die Zimtläden, (orig.: Sklepy Cynamons, Sanatorium pod Klepsydra, Kometa, Kraków 1964), aus dem Polnischen übersetzt von Josef Hahn, Fischer Taschenbuch Verlag, Frankfurt am Main 1981, ISBN 3-596-25066-8, S. 130"
"Der Mensch ist ein religiöses Tier. Er ist das einzige Tier, das seinen Nächsten wie sich selber liebt und, wenn dessen Theologie nicht stimmt, ihm die Kehle durchschneidet.","Mark Twain, The Lowest Animal"
"Der Mensch ist seiner Beschaffenheit nach ein religiöses Tier.","Edmund Burke, Betrachtungen über die Französische Revolution"
"Der Mensch ist weder Engel noch Tier, und das Unglück will es, dass, wer einen Engel aus ihm machen will, ein Tier aus ihm macht. ","Blaise Pascal, Pensées VI, 358"
"Der Mensch vermag in jedem Augenblick ein übersinnliches Wesen zu sein. Ohne dies wäre er nicht Weltbürger - er wäre ein Tier.","Novalis, Blütenstaub"
"Die Tätigkeit des faulsten Menschen ist intensiver als die des tätigsten Tieres.","Giacomo Leopardi, Gedanken aus dem Zibaldone"
"Die Tierfabel gehört eigentlich dem Geiste, dem Gemüt, den sittlichen Kräften, indessen sie uns eine gewisse derbe Sinnlichkeit vorspiegelt. Den verschiedenen Charakteren, die sich im Tierreich aussprechen, borgt sie Intelligenz, die den Menschen auszeichnet, mit allen ihren Vorteilen: dem Bewußtsein, dem Entschluß, der Folge, und wir finden es wahrscheinlich, weil kein Tier aus seiner beschränkten, bestimmten Art herausgeht und deshalb immer zweckmäßig zu handeln scheint.","Johann Wolfgang von Goethe, Schriften zur Kunst - Skizzen zu Castis Fabelgedicht: Die redenden Tiere"
"Die vermeinte Rechtlosigkeit der Thiere, der Wahn, daß unser Handeln gegen sie ohne moralische Bedeutung sei, oder, wie es in der Sprache jener Moral heißt, daß es gegen Tiere keine Pflichten gebe, ist geradezu eine empörende Rohheit und Barberei des Occidents","Arthur Schopenhauer, Grundlage der Moral, §19, Bestätigung des dargelegten Fundaments der Moral"
"Einem Menschen, den Kinder und Tiere nicht leiden können, ist nicht zu trauen.","Carl Hilty, Glück, Band 2, Huber, Frauenfeld 1901, S. 96, books.google.de"
"Er (der Mensch, der kleine Gott der Welt) nennt's Vernunft und braucht's allein, // nur tierischer als jedes Tier zu sein.","Johann Wolfgang von Goethe,  Faust I, Vers 285 f. / Mephistopheles"
"Ich finde schon Gehen eine unnatürliche Bewegungsart, Tiere laufen, aber der Mensch sollte reiten oder fahren.","Gottfried Benn, an Nele Poul Soerensen, 13. März 1953"
"Ich weiß, daß ich ein Mensch bin, weder ein Gott, daß ich unzugänglich für jede Freude wäre, noch ein Tier, daß ich mich an sinnlichen Genüssen erfreute. Es bleibt also übrig, etwas von den Dingen zu suchen, die in der Mitte liegen.","Synesios von Kyrene, Dion Chrysostomos (orig. griechisch, 403 entstanden), übersetzt von Kurt Treu, Wissenschaftliche Buchgesellschaft Darmstadt 1959, Akademie Verlag Berlin, S. 27"
"Jedem Tier und jedem Narren haben die Götter seine Verteidigungswaffen gegeben.","Johann Wolfgang von Goethe, Die Vögel / Treufreund"
"Jeden Augenblick entstehen neue Tierarten, und ich glaube, dass jeden Augenblick einige zugrunde gehen.","Charles de Montesquieu, Meine Gedanken - Nr. 91"
