"quote","attribution"
"Ärgert dich dein Auge, so reiß es aus, ärgert dich deine Hand, so hau sie ab, ärgert dich deine Zunge, so schneide sie ab, und ärgert dich deine Vernunft, so werde katholisch.","Heinrich Heine an Karl August Varnhagen von Ense, 19. Oktober 1827, HSA Bd. 20, Brief Nr. 235, Seite 302"
"Denn gerne gibt man aus der Hand, // Den Säugling, der nicht stammverwandt.","Wilhelm Busch, Balduin Bählamm, der verhinderte Dichter, neuntes Kapitel. In: Was beliebt ist auch erlaubt. Wilhelm Busch. Sämtliche Werke II. Herausgegeben von Rolf Hochhuth. 12. Auflage, München, 2008. S. 555. ISBN 3570030040"
"Der Mensch ist das klügste aller Wesen, weil er Hände hat.","Anaxagoras, Überliefert durch Aristoteles, De partibus animalium, IV, 10; 687 a 7"
"Die Hand, die samstags ihren Besen führt, // Wird sonntags dich am besten karessieren (liebkosen).","Johann Wolfgang von Goethe, Faust I, Vers 844 f. / Erster (Schüler)"
"Die Wahrheit ist keine offen zutage liegende billige Sache, die man mit der linken Hand ergreifen könnte.","Synesios von Kyrene, Dion Chrysostomos (orig. griechisch, 403 entstanden), übersetzt von Kurt Treu, Wissenschaftliche Buchgesellschaft Darmstadt 1959, Akademie Verlag Berlin, S. 35"
"Ein wahrer Muslim ist der, vor dessen Hände und Zunge die anderen Muslime sicher sind. Der wahre Auswanderer ist der, der das verlässt, was von Gott verboten ist.","Mohammed, Sahih Buchari"
"Eine Hand wäscht die andere.","Seneca d.J., Verkürbissung"
"Heut' ballt man nur die Hände, man faltet sie nicht mehr.","Ferdinand Freiligrath, Wien"
"Ich spürte diese Aura, und plötzlich änderte sich die Stimmung im Saal. Die Führer der Welt wagten nicht, mit der Wimper zu zucken. Es schien, als halte eine Hand sie fest, und ihre Augen wurden geöffnet, die Botschaft der Islamischen Republik zu empfangen.","Mahmūd Ahmadī-Nežād, UN-Gipfel in New York, September 2005 www.stern.de"
"Je weniger eine Hand verrichtet, desto zarter ist ihr Gefühl.","William Shakespeare, Hamlet / Hamlet"
"Man wünscht sich ja, in manchen Filmen des Lebens nicht dabei zu sein. Wenn man aber nun einmal drin ist, bleibt nur, klar das Zepter des Handelns in die Hand zu nehmen.","Klaus Kleinfeld, zur Siemens-Schmiergeldaffäre im Interview mit dpa vom 20. Februar 2007, heise.de"
