"quote","attribution"
"Das Haus hat allen zu gefallen. Zum Unterschiede zum Kunstwerk, das niemandem zu gefallen hat. Das Kunstwerk ist eine Privatangelegenheit des Künstlers. Das Haus ist es nicht.","Adolf Loos, 1910 in dem Essay: Architektur"
"Das Haus ist eine Maschine zum Wohnen.","Le Corbusier, Vers une architecture, 1922"
"Die eigentliche Natur des Seins ist Seligkeitsbewusstsein. Ohne die Kenntnis seiner Grundlage, des absoluten Seligkeits-Bewusstseins, ist das Leben wie ein Haus ohne Fundament.","Maharishi Mahesh Yogi, Die Wissenschaft vom Sein und die Kunst des Lebens, J. Kamphausen Verlag Bielefeld, 1998, Seite 50"
"Ein Haus ist eine Arche, um der Flut zu entrinnen.","Katherine Mansfield, Briefe"
"Einem vergifteten Fluss auch noch die seinen Lauf begleitenden ehrwürdigen alten Häuser zu rauben, das erst nähme ihm wirklich das Leben, weil selbst in seinem Spiegel sich dann nichts Menschliches mehr regte."," Horst Stern, Das Gebirge der Seele, 1990"
"Erst nach dem Nachbar schaue, // Sodann das Haus dir baue! // Wenn der Nachbar ist ein Schuft, // So baust du dir eine Totengruft.","Friedrich Rückert, Gedichte"
"Erstlich das Haus und das Weib und den pflügenden Ochsen bedarf man.","Hesiod, Werke und Tage"
"Es gibt keinen Grund, warum irgendjemand einen Computer in seinem Haus bräuchte.","Ken Olsen, 1977, in Bezug auf die damals verbreiteten Großrechner"
"In dem Haus in dem du bleiben willst, sei rechtschaffen und stehle nicht.","Benvenuto Cellini, La vita di Benvenuto Cellini fiorentino scritta (per lui medesimo) in Firenze, 10. Kapitel"
"In großen Städten gehört es leider zum guten Tone, nicht einmal zu wissen, wer mit uns in demselben Hause wohne.","Adolph Freiherr Knigge, Über den Umgang mit Menschen"
"Schlimm sind die Schlüssel, // die nur schließen auf, nicht zu; // Mit solchem Schlüsselbund im Haus // verarmest du.","Friedrich Rückert, Die Weisheit des Brahmanen"
"So leb' denn wohl du stilles Haus! Wir ziehn betrübt von dir hinaus.","Ferdinand Raimund, Der Alpenkönig und der Menschenfeind"
"Stets muss das Innere noch einmal so viel sein als das Äußere. Dagegen gibt es Leute von bloßer Fassade wie Häuser, die, weil die Mittel fehlten, nicht ausgebaut sind und den Eingang eines Palastes, den Wohnraum einer Hütte haben.","Baltasar Gracián y Morales, Handorakel und Kunst der Weltklugheit"
"Und wenn ich nicht erwischt werde, wird mich der, dem ich die Geschichte geb, nie verraten; der wohnt schon, solange ich denken kann, in unserer Häuserzeile, und er ist mein Freund. Das eine weiß ich.","Alan Sillitoe, Die Einsamkeit des Langstreckenläufers (orig.: The Loneliness of the Long-Distance Runner, London 1959) aus dem Englischen übersetzt von Günther Klotz, Diogenes Verlag, Zürich 1967, ISBN 3-257-20413-2, S. 70"
"Wäre es ohne diese ewigen Krisen gegangen, müsste ich in meinen Jahren, um bürgerlich reputierlich dazustehen, ein Auto aufweisen können, ein Weekendhaus und Perserbrücken, was mir aber schlechthin nie möglich gewesen wäre zu beschaffen bei meiner Facon, Geld in die linke Westentasche einzunehmen und aus der rechten sofort wieder auszugeben.","Gottfried Benn, über seinen finanziellen Ruin während der inneren Emigration und des Publikationsverbotes in der Nazizeit, Brief an den Kaufmann Oelze vom 19. Januar 1949, zitiert in: »Gottfried Benn - Gedichte in der Fassung der Erstdrucke.« S. 610. Frankfurt am Main, 2006. ISBN 3596171490"
"Wenn die katz nicht ist im haus, // so hat frei umlaufen die maus.","Georg Rollenhagen, Murner betreugt die meuse mit seinem todfliegen.  Aus: Froschmeuseler, 1. Buch, 2. Theil, 25. Kapitel. Hg. von Karl Goedeke. Erster Theil. Leipzig: F. A. Brockhaus, 1876 [Dt. Dichter des 16. Jahrhunderts, Bd. 8]. S. 176, Zeile 17f."
"Wer ein Haus baut, will bleiben, und wer bleiben will, erhofft sich Sicherheit.","Salomon Korn, Frankfurter Jüdische Nachrichten, Oktober 1986, S. 4"
"Das Haus der Zufriedenen ist noch nicht gebaut worden.","Aus Friaul"
"Des Hauses Friede kommt von der Hausfrau.","Aus Estland"
"Ein schlechter Mensch ist besser als ein leeres Haus.","Sprichwort der Ga (Ghana, Togo)"
"In Häusern, wo Bildung herrscht und Sitte, da gehen die Frauen zuerst, die Männer folgen ihrem Schritte.","Aus Deutschland"
"Man soll nicht für eine Laus das Haus anzünden.","Aus der Türkei"
"Verfallene Häuser geben Ruinen. Hat man die Häuser zerfallen lassen, so sucht man die Ruinen zu erhalten.","Aus Russland"
"Wer fleißig dient und treu hält aus, der baut sich dereinst schon sein eigen Haus.","Aus Deutschland"
"Bestelle dein Haus, denn du wirst sterben.","Jesaja 38,1"
"Denn Liebe ist stark wie der Tod und Leidenschaft unwiderstehlich wie das Totenreich. Ihre Glut ist feurig und eine Flamme des Herrn, so daß auch viele Wasser die Liebe nicht auslöschen und Ströme sie nicht ertränken können. Wenn einer alles Gut in seinem Hause um die Liebe geben wollte, so könnte das alles nicht genügen.","Hoheslied 8,6-7"
"Durch Weisheit wird ein Haus gebaut und durch Verstand erhalten.","Sprüche Salomons 24,3"
"Ein Prophet gilt nirgends weniger als in seinem Vaterland und bei seinen Verwandten und in seinem Hause.","Jesus Christus, Markus 6,4 EU"
"Im Hause des Gottlosen ist der Fluch des Herrn; aber das Haus der Gerechten wird gesegnet.","Sprüche 3,33'"
