"quote","attribution"
"Das Betragen ist ein Spiegel, in welchem jeder sein Bild zeigt.","Johann Wolfgang von Goethe, Die Wahlverwandschaften. 2. Teil, Kap. 5. Aus Ottiliens Tagebuche"
"Das dritte Gesetz der Sehnsucht lautet: Nur im Spiegel anderen Lebens können wir uns selbst verstehen. Wir brauchen den Blick des Allerfremdesten.","Andreas Weber: Alles fühlt : Mensch, Natur und die Revolution der Lebenswissenschaften. - Berlin : Berlin Verlag, 2007 ISBN 3-8270-0670-8 - Seite 34. - Zitiert bei ANU"
"Der Mensch entdeckt zuletzt nicht die Welt, sondern seine Tastorgane und Fühlhörner und deren Gesetze - aber ist deren Existenz nicht schon ein genügender Beweis für die Realität? Ich denke, der Spiegel beweist die Dinge.","Friedrich Nietzsche, Aus dem Nachlass; Nachlass, KSA 9: 10[D83]"
"Die Welt ist ein Spiegel, aus dem jedem sein eigenes Gesicht entgegenblickt.","William Makepeace Thackeray, Jahrmarkt der Eitelkeit"
"Die Welt ist ein Spiegel, worin ein jeder nur die eigene Seele sieht.","Isolde Kurz, Allgemeines vom Menschendasein. In: Im Zeichen des Steinbocks, bei Georg Müller, München und Leipzig 1905, S. 3, Internet Archive"
"Du bist schön Venedig, von Wellen umgeben // ruhiger Spiegel erhabener Kunstwerke!","Lorenzo Stecchetti, aus Postuma, XXXVI – A Venezia."
"Ein Buch ist Spiegel, aus dem kein Apostel herausgucken kann, wenn ein Affe hineinguckt.","Georg Christoph Lichtenberg, Sudelbücher Heft E (215)"
"Ein Mädchen vor'm Spiegel ist die Frucht, die sich selber ißt.","Friedrich Hebbel, Sämtliche Werke: Tagebücher, 1. Band. 1663 (1839). Hist.-krit. Ausgabe besorgt von Richard Maria Werner. Zweite Abteilung. Neue Subskriptions-Ausgabe, 3. unv. Auflage. Berlin: Behr, 1905. S. 373. Google Books-USA*"
"Ein Spiegel ist besser als eine ganze Reihe Ahnenbilder.","Wolfgang Menzel, Streckverse, bei Christian Friedrich Winter, Heidelberg 1823, S. 72, Google Books"
"Es giebt auch Spiegel, in denen man sehen kann, was Einem fehlt.","Friedrich Hebbel, Sämtliche Werke: Tagebücher, 2. Band. 2354 (1841). Hist.-krit. Ausgabe besorgt von Richard Maria Werner. Zweite Abteilung. Neue Subskriptions-Ausgabe, 3. unv. Auflage. Berlin: Behr, 1905. S. 116. Google Books-USA*"
"'Spieglein, Spieglein an der Wand: wer ist die schönste Frau in dem ganzen Land?' da antwortete der Spiegel aber wieder: 'Frau Königin, ihr seyd die schönste hier, aber Sneewittchen, über den sieben Bergen ist noch tausend Mal schöner als Ihr!'","Gebrüder Grimm, Sneewittchen (Schneeweißchen), Kinder- und Hausmärchen. Große Ausgabe. 1. Band 1. Auflage, Berlin: Realschulbuchhandlung, 1812. S. 242f."
"Weil er ein Affengesicht euch zeigte, zerschlagt ihr den Spiegel. // Nun aus den Scherben dafür gucken der Affen noch mehr.","Daniel Sanders, Xenien der Gegenwart"
"Zu unserer Besserung bedürfen wir eines Spiegels.","Arthur Schopenhauer, Aphorismen zur Lebensweisheit"
"Beschuldige nicht den Spiegel, wenn dein Gesicht schief ist.","Aus Russland"
"Ein Mensch ohne Bildung ist ein Spiegel ohne Politur.","Aus Deutschland"
"Erst betrachte dich im Spiegel, dann rede.","Aus Japan"
